Office,904 Dearborn Street,904 Dearborn Street,Space 1,Caldwell,,ID,83605,3 759 SF,3 759 SF,Caldwell,Office Building,A,$0.83 /SF/Mo,3 759 SF,,Lawrence Ross,18757625,Now
Industrial,Caldwell Office,3405 Arthur St,Space 1,Caldwell,,ID,83605,12 000 SF,2 035 SF,Caldwell,Warehouse,,Negotiable,,,Ron Van Auker,18757315,
Retail,2609 Blaine Street,2609 Blaine Street,Space 1,Caldwell,,ID,83605,800 SF,800 SF,Caldwell,Free Standing Bldg,,$0.94 - $62.50 /SF/Mo,800 SF,,Lawrence Ross,18755517,Now
Retail,Newly Constructed Retail Space For Lease,4403 East Ustick Road,Space 1,Caldwell,,ID,83605,,1 500 SF,Caldwell,Strip Center,,$2 /SF/Mo,4 500 SF,,Andrea Nilson,18681483,
Retail,Newly Constructed Retail Space For Lease,4403 East Ustick Road,Space 2,Caldwell,,ID,83605,,1 500 SF,Caldwell,Strip Center,,$2 /SF/Mo,4 500 SF,,Andrea Nilson,18681483,
Retail,Newly Constructed Retail Space For Lease,4403 East Ustick Road,Space 3,Caldwell,,ID,83605,,1 500 SF,Caldwell,Strip Center,,$2 /SF/Mo,4 500 SF,,Andrea Nilson,18681483,
Office,West Valley Medical Complex,1906 Fairview Ave.,2nd Floor,Caldwell,,ID,83605,91 500 SF,1 734 SF,Caldwell,Medical Office,A,$1.50 /SF/Mo,,,Mark Cleverley,18672486,Now
Office,West Valley Medical Complex,1906 Fairview Ave.,3rd Floor,Caldwell,,ID,83605,91 500 SF,7 166 SF,Caldwell,Medical Office,A,$1.50 /SF/Mo,,,Mark Cleverley,18672486,Now
Office,West Valley Medical Complex,1906 Fairview Ave.,4th Floor,Caldwell,,ID,83605,91 500 SF,3 691 SF,Caldwell,Medical Office,A,$1.50 /SF/Mo,,,Mark Cleverley,18672486,Now
Office,KD's Landing,4110 Eaton,1,Caldwell,,ID,83607,4 576 SF,1 250 SF,Caldwell,Office Building,B,$0.83 /SF/Mo,1 250 SF,,Lincoln Hagood,18490611,
Office,Caldwell Orthodontic / Medical / Office Building,3611 S. 10th Avenue,Space 1,Caldwell,,ID,83605,6 739 SF,3 739 SF,Caldwell,Medical Office,A,$1 /SF/Mo,,,Curtis Ellis,18523801,Now
Office,Office Medical Dental Space For Lease,405 East Elm Street,405 Elm,Caldwell,,ID,83605,2 500 SF,1 548 SF,Caldwell,Medical Office,C,$0.83 /SF/Mo,1 548 SF,,DJ Thompson,18274014,
Retail,Sky Ranch Plaza,4609 Highway 20-26,retail pads  lots,Caldwell,,ID,83605,,93 720 SF,Caldwell,Power Center,,$0.08 /SF/Mo,,,Jason Eisenberg  CCIM,18076793,Now
Retail,Farm City Bldg.,321 N. 21st Ave.,Space 1,Caldwell,,ID,83605,13 200 SF,13 200 SF,Caldwell,Free Standing Bldg,,$0.49 - $541.67 /SF/Mo,,,Carl Woodburn,17791450,4/1/2016
Office,212 South 4th Ave,212 South 4th Ave,A,Caldwell,,ID,83605,4 395 SF,900 SF,Caldwell,Office Building,,$0.67 - $50 /SF/Mo,1 675 SF,,Bryant Jones,16334243,
Office,212 South 4th Ave,212 South 4th Ave,B,Caldwell,,ID,83605,4 395 SF,775 SF,Caldwell,Office Building,,$0.67 - $50 /SF/Mo,1 675 SF,,Bryant Jones,16334243,
Office,Indian Creek Office Center,612 main street,Space 1,Caldwell,,ID,83605,11 797 SF,11 780 SF,Caldwell,Institutional/Governmental,B,$0.58 /SF/Mo,11 780 SF,,Duston Rose,17207190,
Office,Caldwell Medical Arts,1818 S 10th Avenue,B-100,Caldwell,,ID,83605,19 167 SF,3 917 SF,Caldwell,Medical Office,,$1.08 /SF/Mo,3 917 SF,,Steve Cannariato,16247931,
Office,Caldwell Medical Arts,1818 S 10th Avenue,120,Caldwell,,ID,83605,19 167 SF,4 991 SF,Caldwell,Medical Office,,$1.08 /SF/Mo,4 991 SF,,Steve Cannariato,16247931,
Office,Caldwell Medical Arts,1818 S 10th Avenue,240,Caldwell,,ID,83605,19 167 SF,1 688 SF,Caldwell,Medical Office,,$1.08 /SF/Mo,1 688 SF,,Steve Cannariato,16247931,
Office,Caldwell Medical Arts,1818 S 10th Avenue,200,Caldwell,,ID,83605,19 167 SF,1 376 SF,Caldwell,Medical Office,,$1.08 /SF/Mo,1 376 SF,,Steve Cannariato,16247931,
Retail,Clearwater Plaza,5212 Cleveland Blvd,5212,Caldwell,,ID,83607,22 950 SF,22 950 SF,Caldwell,Retail (Other),,$0.67 /SF/Mo,22 950 SF,,Hoyt Michener,13899548,Now
Retail,909 Specht Avenue,909 Specht Avenue,1,Caldwell,,ID,83605,4 770 SF,4 770 SF,Caldwell,Restaurant,,$0.63 /SF/Mo,4 770 SF,,Thornton Oliver Keller Commercial Real Estate,19272036,Now
Office,2615 Cleveland Blvd,2615 Cleveland Blvd,Space 1,Caldwell,,ID,83605,4 900 SF,4 900 SF,Caldwell,Office Building,B,$0.79 /SF/Mo,,,Todd McCauley,19268296,Now
Retail,Willow Falls - Building D,2707 S. 10th Avenue,102,Caldwell,,ID,83605,7 757 SF,1 212 SF,Caldwell,Retail (Other),,$0.83 /SF/Mo,1 212 SF,,Thornton Oliver Keller Commercial Real Estate,19162599,Now
Retail,Willow Falls - Building D,2707 S. 10th Avenue,104,Caldwell,,ID,83605,7 757 SF,1 563 SF,Caldwell,Retail (Other),,$0.83 /SF/Mo,1 563 SF,,Thornton Oliver Keller Commercial Real Estate,19162599,Now
Retail,Willow Falls - Building D,2707 S. 10th Avenue,105,Caldwell,,ID,83605,7 757 SF,1 833 SF,Caldwell,Retail (Other),,$0.83 /SF/Mo,1 833 SF,,Thornton Oliver Keller Commercial Real Estate,19162599,Now
Retail,Willow Falls - Building D,2707 S. 10th Avenue,102-105,Caldwell,,ID,83605,7 757 SF,4 608 SF,Caldwell,Retail (Other),,$0.83 /SF/Mo,4 608 SF,,Thornton Oliver Keller Commercial Real Estate,19162599,Now
Retail,Willow Falls Building C,2621 S 10th Ave,Space 1,Caldwell,,ID,83605,,1 300 SF,Caldwell,Strip Center,,$0.83 /SF/Mo,1 300 SF,,Jarron Langston,19082570,
Industrial,Caldwell Industrial Airport,519-605 Dishman Way,605,Caldwell,,ID,83605,19 000 SF,6 300 SF,Caldwell,Warehouse,,$0.48 /SF/Mo,6 300 SF,,Thornton Oliver Keller Commercial Real Estate,16500442,Now
Retail,Middleton Village Retail Space Sub-Lease,212 E. Main Street,1,Middleton,,ID,83644,,12 043 SF,Middleton,Strip Center,,$0.42 /SF/Mo,,,David Bohecker,19116114,Now
Office,Greenlinks Office or Retail,220 Greenlinks Avenue,C,Middleton,,ID,83644,6 882 SF,2 912 SF,Middleton,Office Building,,$1 /SF/Mo,2 912 SF,,Scott Feighner,18601625,Now
Retail,Middleton Village - Retail,206 Main Street,Pads,Middleton,,ID,83644,30 000 SF,8 000 SF,Middleton,Retail Pad,,Negotiable,,,Mike Christensen,16786562,Now
Retail,Middleton Village - Retail,206 Main Street,Pad,Middleton,,ID,83644,30 000 SF,3 000 SF,Middleton,Retail Pad,,Negotiable,,,Mike Christensen,16786562,Now
Retail,Middleton Marketplace,412 S. King Avenue,102,Middleton,,ID,83644,6 000 SF,1 000 SF,Middleton,Retail (Other),,$0.75 /SF/Mo,1 000 SF,,Thornton Oliver Keller Commercial Real Estate,16660327,Now
Retail,Middleton Marketplace,412 S. King Avenue,103,Middleton,,ID,83644,6 000 SF,1 000 SF,Middleton,Retail (Other),,$0.75 /SF/Mo,1 000 SF,,Thornton Oliver Keller Commercial Real Estate,16660327,Now
Retail,Middleton Marketplace,412 S. King Avenue,104,Middleton,,ID,83644,6 000 SF,2 000 SF,Middleton,Retail (Other),,$0.75 /SF/Mo,2 000 SF,,Thornton Oliver Keller Commercial Real Estate,16660327,Now
Retail,Middleton Village Plaza,204 Dewey Lane,Space 1,Middleton,,ID,83644,,733 SF,Middleton,Strip Center,,$0.58 /SF/Mo,,,Deb Cano,18810409,
Retail,Middleton Village Plaza,204 Dewey Lane,202,Middleton,,ID,83644,,1 316 SF,Middleton,Strip Center,,$0.58 - $0.67 /SF/Mo,,,Deb Cano,18810409,
Retail,Middleton Marketplace,509 S. Middleton Road,106,Middleton,,ID,83644,6 400 SF,1 400 SF,Middleton,Retail (Other),,$1 /SF/Mo,1 400 SF,,Thornton Oliver Keller Commercial Real Estate,17244653,Now
Office,St. Alphonsus Medical Space For Lease,323 East Riverside Drive,Suite 130,Eagle,,ID,83616,76 173 SF,4 621 SF,Eagle,Medical Office,A,$1.92 /SF/Mo,7 591 SF,,DJ Thompson,19378505,Now
Office,St. Alphonsus Medical Space For Lease,323 East Riverside Drive,Suite 234,Eagle,,ID,83616,76 173 SF,2 970 SF,Eagle,Medical Office,A,$1.92 /SF/Mo,7 591 SF,,DJ Thompson,19378505,Now
Retail,Eagle Island Crossing | Retail Space For Lease,20 N. Fisher Park Way,Space 1,Eagle,,ID,83616,,1 221 SF,Eagle,Strip Center,,$1.21 /SF/Mo,,,Matt Mahoney,19378171,Now
Office,Rivershore South,661 S. Rivershore Lane,150,Eagle,,ID,83616,31 239 SF,4 641 SF,Eagle,Office Building,,$1.71 /SF/Mo,4 641 SF,,Thornton Oliver Keller Commercial Real Estate,19334877,Now
Office,Rivershore South,661 S. Rivershore Lane,120,Eagle,,ID,83616,31 239 SF,3 282 SF,Eagle,Office Building,,$1.63 - $1.71 /SF/Mo,3 282 SF,,Thornton Oliver Keller Commercial Real Estate,19334877,Now
Office,Bosanka Village,391 W State Street,Space B (Bldg. 391),Eagle,,ID,83616,8 192 SF,1 500 SF,Eagle,Office Building,B,$1 /SF/Mo,,,Matt Mahoney,17963223,
Office,Bosanka Village,391 W State Street,Space B (Bldg. 393),Eagle,,ID,83616,8 192 SF,963 SF,Eagle,Office Building,B,$1 /SF/Mo,,,Matt Mahoney,17963223,
Office,Bosanka Village,391 W State Street,Space D (Bldg. 391),Eagle,,ID,83616,8 192 SF,1 967 SF,Eagle,Office Building,B,$1 /SF/Mo,,,Matt Mahoney,17963223,
Office,979 Winding Creek,979 E. Winding Creek Drive,West Wing,Eagle,,ID,83616,1 872 SF,936 SF,Eagle,Office Building,,$1.28 /SF/Mo,936 SF,,Thornton Oliver Keller Commercial Real Estate,19345752,Now
Office,1259 E. Winding Creek Dr.,1259 E. Winding Creek Dr.,Space 1,Eagle,,ID,83616,4 184 SF,4 184 SF,Eagle,Office Building,A,$1.42 /SF/Mo,,,Tricia Callies,19321350,Now
Office,Cohiba Building,1456 Iron Ealge,Space 1,Eagle,,ID,83616,2 283 SF,870 SF,Eagle,Office Building,A,$1 /SF/Mo,870 SF,,Allison Findlay,19319848,Now
Office,179 South Eagle Road,179 South Eagle Road,Space 1,Eagle,,ID,83616,1 401 SF,1 401 SF,Eagle,Office Building,A,$1.29 /SF/Mo,1 401 SF,,Rick McGraw,19307961,Now
Office,Fitness Plaza Office Space,515 S. Fitness Plaza,100,Eagle,,ID,83616,4 500 SF,2 250 SF,Eagle,Office Building,A,$1.04 /SF/Mo,,,Norm Brown,19280826,Now
Office,208 Academy,208 S. Academy,130,Eagle,,ID,83616,4 797 SF,1 192 SF,Eagle,Office Building,,$1.25 /SF/Mo,1 192 SF,,Thornton Oliver Keller Commercial Real Estate,19258539,Now
Office,1251 E Iron Eagle Dr,1251 E Iron Eagle Dr,Space 1,Eagle,,ID,83616,16 128 SF,2 962 SF,Eagle,Office Building,A,$1.17 /SF/Mo,5 206 SF,,Lawrence Ross,18200763,
Office,1251 E Iron Eagle Dr,1251 E Iron Eagle Dr,Office/Warehouse,Eagle,,ID,83616,16 128 SF,5 206 SF,Eagle,Office Building,A,$1.02 - $442.08 /SF/Mo,5 206 SF,,Lawrence Ross,18200763,
Office,1251 E Iron Eagle Dr,1251 E Iron Eagle Dr,Office 2,Eagle,,ID,83616,16 128 SF,1 296 SF,Eagle,Office Building,A,$1.02 - $442.08 /SF/Mo,1 296 SF,,Lawrence Ross,18200763,
Office,1251 E Iron Eagle Dr,1251 E Iron Eagle Dr,Office 1 & 2,Eagle,,ID,83616,16 128 SF,4 258 SF,Eagle,Office Building,A,$1.02 - $442.08 /SF/Mo,4 258 SF,,Lawrence Ross,18200763,
Office,1243 E Iron Eagle Drive,1243 E Iron Eagle Drive,110,Eagle,,ID,83616,4 340 SF,2 170 SF,Eagle,Office Building,A,$1.46 /SF/Mo,2 170 SF,,Scott Feighner,19228062,Now
Office,Rocky Mountain Business Park #3,1299 E Iron Eagle Drive,Space 1,Eagle,,ID,83616,1 350 SF,1 350 SF,Eagle,Office Building,A,$1.33 - $150 /SF/Mo,,,Scott Feighner,19129919,Now
Office,Eagles View,776 E. Riverside Dr.,Ste. # 245,Boise,,ID,83714,34 750 SF,2 058 SF,Eagle,Office Building,B,$1.42 /SF/Mo,,,Tricia Callies,18520338,
Office,Eagles View,776 E. Riverside Dr.,2,Boise,,ID,83714,34 750 SF,3 743 SF,Eagle,Office Building,B,$1.42 /SF/Mo,,,Tricia Callies,18520338,Now
Office,Eagles View,776 E. Riverside Dr.,Ste. #245,Eagle,,ID,83616,34 750 SF,2 058 SF,Eagle,Office Building,B,$1.42 /SF/Mo,,,Tricia Callies,18583720,
Office,Eagles View,776 E. Riverside Dr.,2,Eagle,,ID,83616,34 750 SF,3 743 SF,Eagle,Office Building,B,$1.42 /SF/Mo,,,Tricia Callies,18583720,Now
Office,128 S. Eagle Road,128 S. Eagle Road,Space 1,Eagle,,ID,83616,4 230 SF,1 450 SF,Eagle,Office Building,B,$1.04 /SF/Mo,,,Michael Bergmann,19120865,Now
Office,90 W Cottonwood Court,90 W Cottonwood Court,Suite 100,Eagle,,ID,83616,5 300 SF,2 650 SF,Eagle,Medical Office,A,$1.25 /SF/Mo,5 300 SF,,Lew Manglos  CCIM  SIOR,19041950,Now
Office,Eagle Office Condominium,1119 E. State St.,1st Floor,Eagle,,ID,83616,24 000 SF,1 242 SF,Eagle,Office Building,A,$1.38 /SF/Mo,1 242 SF,,Michael Bergmann,19037094,
Retail,Kittyhawk Plaza,873 - 897 E State Street,Space 1,Eagle,,ID,83616,7 415 SF,1 423 SF,Eagle,Retail (Other),,$1.29 /SF/Mo,,,Brian Herbert,18644705,
Retail,Kittyhawk Plaza,873 - 897 E State Street,Space 2,Eagle,,ID,83616,7 415 SF,2 306 SF,Eagle,Retail (Other),,$1.29 /SF/Mo,,,Brian Herbert,18644705,
Office,1500 East Iron Eagle Drive,1500 East Iron Eagle Drive,Space 1,Eagle,,ID,83616,20 527 SF,3 708 SF,Eagle,Office Building,A,$0.83 /SF/Mo,,,Dan OBannon,19028540,
Office,Forum One Building,408 S Eagle Rd,209,Eagle,,ID,83616,32 600 SF,2 894 SF,Eagle,Office Building,B,$1.29 /SF/Mo,2 894 SF,,Ben Kneadler,18063572,Now
Retail,Eagle Clock Tower,1580 E. State Street,Ste. 103,Eagle,,ID,83616,,1 715 SF,Eagle,Neighborhood Center,,$1 /SF/Mo,1 715 SF,,CBC Advisors Commercial,18811950,Now
Retail,Eagle Pavilion - Albertsons Anchored Retail,400 S Eagle Road,Suite 364,Eagle,,ID,83616,,883 SF,Eagle,Strip Center,,$1.33 /SF/Mo,,,Matt Mahoney,18776468,
Retail,Eagle Pavilion - Albertsons Anchored Retail,400 S Eagle Road,Suite 366,Eagle,,ID,83616,,1 293 SF,Eagle,Strip Center,,$1.33 /SF/Mo,,,Matt Mahoney,18776468,
Retail,Eagle Pavilion - Albertsons Anchored Retail,400 S Eagle Road,Suite 1243,Eagle,,ID,83616,,1 243 SF,Eagle,Strip Center,,$1.33 /SF/Mo,,,Matt Mahoney,18776468,
Retail,Knight Hill Development,Linder & Chinden,Pad 1 Bldg 1,Meridian,,ID,83646,,7 106 SF,Eagle,Strip Center,,$1.75 /SF/Mo,,,Mike Pena,18718255,
Retail,Knight Hill Development,Linder & Chinden,Pad 1 Bldg 2,Meridian,,ID,83646,,7 106 SF,Eagle,Strip Center,,$1.75 /SF/Mo,,,Mike Pena,18718255,
Retail,Knight Hill Development,Linder & Chinden,Pad 2,Meridian,,ID,83646,,30 000 SF,Eagle,Strip Center,,$1 - $1.75 /SF/Mo,,,Mike Pena,18718255,
Retail,Knight Hill Development,Linder & Chinden,Pad 3,Meridian,,ID,83646,,4 200 SF,Eagle,Strip Center,,$1 - $1.75 /SF/Mo,,,Mike Pena,18718255,
Retail,Knight Hill Development,Linder & Chinden,Pad 4,Meridian,,ID,83646,,12 100 SF,Eagle,Strip Center,,$1 - $1.75 /SF/Mo,,,Mike Pena,18718255,
Retail,Knight Hill Development,Linder & Chinden,Pad 5,Meridian,,ID,83646,,12 650 SF,Eagle,Strip Center,,$1 - $2.08 /SF/Mo,,,Mike Pena,18718255,
Industrial,Eagle Towne Plaza,344 W State Street,Space 1,Eagle,,ID,83616,31 500 SF,9 200 SF,Eagle,Distribution Warehouse,,$0.92 /SF/Mo,,,Matt Mahoney,18693167,
Office,Medallion Eagle Professional Center,700 742 E State Street,742 E State #2,Eagle,,ID,83616,5 278 SF,2 981 SF,Eagle,Office Building,B,$1.29 /SF/Mo,,,Matt Mahoney,18237244,
Retail,Eagle Market Place,3210 Chinden,Space 1,Eagle,,ID,83616,,5 190 SF,Eagle,Neighborhood Center,,$0.83 /SF/Mo,5 190 SF,,CBC Advisors Commercial,18520889,Now
Office,Cottonwood Court Business Park,45 Cottonwood Court,Space 1,Eagle,,ID,83616,5 300 SF,2 219 SF,Eagle,Office Building,B,$1.21 /SF/Mo,,,Matt Mahoney,18451662,
Retail,Eagle Towne Plaza,300 W State,Building,Eagle,,ID,83616,,9 300 SF,Eagle,Strip Center,,$0.92 /SF/Mo,9 300 SF,,Matt Mahoney,18110145,
Retail,Fred Meyer Center: Eagle Island Marketplace,NEC of Linder and Chinden Blvd,Suite 174 (Pad 17),Eagle,,ID,83616,,1 200 SF,Eagle,Power Center,,Negotiable,,,Jason Eisenberg  CCIM,17488813,
Retail,Fred Meyer Center: Eagle Island Marketplace,NEC of Linder and Chinden Blvd,Suite 168 (Pad 17),Eagle,,ID,83616,,1 200 SF,Eagle,Power Center,,Negotiable,,,Jason Eisenberg  CCIM,17488813,
Retail,Fred Meyer Center: Eagle Island Marketplace,NEC of Linder and Chinden Blvd,Pad 1,Eagle,,ID,83616,,7 800 SF,Eagle,Power Center,,Negotiable,,,Jason Eisenberg  CCIM,17488813,
Retail,Fred Meyer Center: Eagle Island Marketplace,NEC of Linder and Chinden Blvd,Pad 2,Eagle,,ID,83616,,4 000 SF,Eagle,Power Center,,Negotiable,,,Jason Eisenberg  CCIM,17488813,
Retail,Fred Meyer Center: Eagle Island Marketplace,NEC of Linder and Chinden Blvd,Pad 3,Eagle,,ID,83616,,4 000 SF,Eagle,Power Center,,Negotiable,,,Jason Eisenberg  CCIM,17488813,
Retail,Fred Meyer Center: Eagle Island Marketplace,NEC of Linder and Chinden Blvd,Pad 7,Eagle,,ID,83616,,8 500 SF,Eagle,Power Center,,Negotiable,,,Jason Eisenberg  CCIM,17488813,
Retail,Fred Meyer Center: Eagle Island Marketplace,NEC of Linder and Chinden Blvd,Pad 8,Eagle,,ID,83616,,5 160 SF,Eagle,Power Center,,Negotiable,,,Jason Eisenberg  CCIM,17488813,
Retail,Fred Meyer Center: Eagle Island Marketplace,NEC of Linder and Chinden Blvd,Pad 9,Eagle,,ID,83616,,5 600 SF,Eagle,Power Center,,Negotiable,,,Jason Eisenberg  CCIM,17488813,
Retail,Fred Meyer Center: Eagle Island Marketplace,NEC of Linder and Chinden Blvd,Pad 10,Eagle,,ID,83616,,6 300 SF,Eagle,Power Center,,Negotiable,,,Jason Eisenberg  CCIM,17488813,
Retail,Fred Meyer Center: Eagle Island Marketplace,NEC of Linder and Chinden Blvd,Pad 13,Eagle,,ID,83616,,9 600 SF,Eagle,Power Center,,Negotiable,,,Jason Eisenberg  CCIM,17488813,
Retail,Fred Meyer Center: Eagle Island Marketplace,NEC of Linder and Chinden Blvd,Shops,Eagle,,ID,83616,,13 060 SF,Eagle,Power Center,,Negotiable,,,Jason Eisenberg  CCIM,17488813,
Retail,Fred Meyer Center: Eagle Island Marketplace,NEC of Linder and Chinden Blvd,Shops,Eagle,,ID,83616,,18 000 SF,Eagle,Power Center,,Negotiable,,,Jason Eisenberg  CCIM,17488813,
Retail,Fred Meyer Center: Eagle Island Marketplace,NEC of Linder and Chinden Blvd,Shops,Eagle,,ID,83616,,16 300 SF,Eagle,Power Center,,Negotiable,,,Jason Eisenberg  CCIM,17488813,
Retail,Fred Meyer Center: Eagle Island Marketplace,NEC of Linder and Chinden Blvd,Shops,Eagle,,ID,83616,,15 300 SF,Eagle,Power Center,,Negotiable,,,Jason Eisenberg  CCIM,17488813,
Retail,Fred Meyer Center: Eagle Island Marketplace,NEC of Linder and Chinden Blvd,Pad 6,Eagle,,ID,83616,,9 000 SF,Eagle,Power Center,,Negotiable,,,Jason Eisenberg  CCIM,17488813,
Retail,Fred Meyer Center: Eagle Island Marketplace,NEC of Linder and Chinden Blvd,Pad 5,Eagle,,ID,83616,,5 400 SF,Eagle,Power Center,,Negotiable,,,Jason Eisenberg  CCIM,17488813,
Retail,Fred Meyer Center: Eagle Island Marketplace,NEC of Linder and Chinden Blvd,Shops,Eagle,,ID,83616,,10 680 SF,Eagle,Power Center,,Negotiable,,,Jason Eisenberg  CCIM,17488813,
Retail,Fred Meyer Center: Eagle Island Marketplace,NEC of Linder and Chinden Blvd,Suite 162 (Pad 17),Eagle,,ID,83616,,1 080 SF,Eagle,Power Center,,Negotiable,,,Jason Eisenberg  CCIM,17488813,
Retail,1545 East Iron Eagle Drive,1545 East Iron Eagle Drive,104,Eagle,,ID,83616,10 483 SF,1 298 SF,Eagle,Free Standing Bldg,,$1.08 /SF/Mo,2 583 SF,,Chuck Winder,15884929,
Retail,1545 East Iron Eagle Drive,1545 East Iron Eagle Drive,103,Eagle,,ID,83616,10 483 SF,1 285 SF,Eagle,Free Standing Bldg,,$1.08 /SF/Mo,2 583 SF,,Chuck Winder,15884929,
Industrial,Edgewood Business Park,335 N. Edgewood Dr.,Suite 180,Eagle,,ID,83616,9 000 SF,950 SF,Eagle,Flex Space,,$0.88 /SF/Mo,950 SF,,Brian Herbert,17233411,Now
Office,Cobblestone,450 W. State St.,Suite 200,Eagle,,ID,83616,32 000 SF,4 953 SF,Eagle,Office Building,A,$1.46 /SF/Mo,4 953 SF,,Matt Mahoney,16963905,Now
Retail,Eagle Island Marketplace,NEC Chinden & Linder,Space 1,Eagle,,ID,83616,,50 000 SF,Eagle,Power Center,,$0.08 /SF/Mo,50 000 SF,,Ben Kneadler,15654147,Now
Retail,Winding Creek East,1117 E Winding Creek Dr,Space 1,Eagle,,ID,83616,8 500 SF,2 900 SF,Eagle,Restaurant,,$1.21 - $291.67 /SF/Mo,,,Drew Newnham,19359487,Now
Office,Stonewycke Building,291 E. Shore Drive,220,Eagle,,ID,83616,16 000 SF,1 650 SF,Eagle,Office Building,,$1.54 /SF/Mo,1 650 SF,,Thornton Oliver Keller Commercial Real Estate,18617578,Now
Office,Eagle Professional Center,593 E. State St.,Space 1,Eagle,,ID,83616,5 184 SF,1 372 SF,Eagle,Office Building,B,$1.04 - $119.10 /SF/Mo,,,Amanda Alvaro,19050369,Now
Office,Cohibo Condo,1472 Iron Eagle,Space 1,Eagle,,ID,83616,3 667 SF,832 SF,Eagle,Creative/Loft,,$1.25 /SF/Mo,832 SF,,Amanda Alvaro,19044885,Now
Office,Eagle Rivershore Building,533 S. Rivershore Lane,100,Eagle,,ID,83616,13 996 SF,9 527 SF,Eagle,Office Building,,$1.13 /SF/Mo,9 527 SF,,Thornton Oliver Keller Commercial Real Estate,18225457,Now
Retail,177 E Eagle River Street,177 E Eagle River Street,Suite 110,Eagle,,ID,83616,,1 327 SF,Eagle,Strip Center,,$1.63 /SF/Mo,,,Tom Bobo,19008006,
Office,Eagle River IV,868 E Riverside Dr,120,Eagle,,ID,83616,38 363 SF,2 426 SF,Eagle,Office Building,A,$1.86 /SF/Mo,,,Tom Bobo,18981640,
Office,Eagle River IV,868 E Riverside Dr,180,Eagle,,ID,83616,38 363 SF,2 175 SF,Eagle,Office Building,A,$1.86 /SF/Mo,,,Tom Bobo,18981640,
Office,Eagle River I,485 E Riverside Dr,300,Eagle,,ID,83616,9 452 SF,2 725 SF,Eagle,Office Building,A,$1.83 /SF/Mo,,,Tom Bobo,18981560,Now
Office,1045 Ancona #F - Exec Office,1045 Ancona Road,F,Eagle,,ID,83616,250 SF,250 SF,Eagle,Office Building,,$1.20 /SF/Mo,250 SF,,Thornton Oliver Keller Commercial Real Estate,18941164,Now
Office,1065 Winding Creek,1065 E. Winding Creek Drive,240,Eagle,,ID,83616,12 662 SF,1 275 SF,Eagle,Office Building,,$1.35 /SF/Mo,1 275 SF,,Thornton Oliver Keller Commercial Real Estate,18886854,Now
Land,Eagle Promenade,Hwy 55 & Hwy 44 (State Street),Pad 4,Eagle,,ID,83616,,54 924 SF,Eagle,Retail-Pad (land),,$1.42 /SF/Mo,,,Lew Goldman,18798535,Now
Land,Eagle Promenade,Hwy 55 & Hwy 44 (State Street),Pad 5,Eagle,,ID,83616,,28 662 SF,Eagle,Retail-Pad (land),,$1.42 - $1.67 /SF/Mo,,,Lew Goldman,18798535,Now
Land,Eagle Promenade,Hwy 55 & Hwy 44 (State Street),Pad 6,Eagle,,ID,83616,,22 912 SF,Eagle,Retail-Pad (land),,$1.42 - $1.67 /SF/Mo,,,Lew Goldman,18798535,Now
Office,467 S Rivershore Lane,467 S Rivershore Lane,Space 1,Eagle,,ID,83616,4 346 SF,1 141 SF,Eagle,Medical Office,A,$1.25 /SF/Mo,,,Jamie Anderson,18661691,Now
Office,Great Sky Office Park,225 S. Wooddale Avenue,115,Eagle,,ID,83616,2 900 SF,760 SF,Eagle,Office Building,,$1.17 /SF/Mo,760 SF,,Thornton Oliver Keller Commercial Real Estate,17900005,Now
Office,Great Sky Office Park,225 S. Wooddale Avenue,105,Eagle,,ID,83616,2 900 SF,1 333 SF,Eagle,Office Building,,$1.17 /SF/Mo,1 333 SF,,Thornton Oliver Keller Commercial Real Estate,17900005,Now
Office,445 S. Fitness Plaza  Suite 100,445 S. Fitness Plaza  Suite 100,1,Eagle,,ID,83616,2 880 SF,1 032 SF,Eagle,Office Building,A,$1 /SF/Mo,,,Skip Anderson,18257469,Now
Industrial,1396 E. Iron Eagle Dr.,1396 E. Iron Eagle Dr.,Space 1,Eagle,,ID,83616,21 744 SF,11 000 SF,Eagle,Flex Space,,$0.60 /SF/Mo,,,Gil Rodriguez,18204432,
Office,Medallion Eagle Professional Center,742 E. State Street,742,Eagle,,ID,83616,6 000 SF,2 981 SF,Eagle,Office Building,A,Negotiable,,,Angela Wickham,16261365,Now
Office,Medallion Eagle Professional Center,742 E. State Street,700,Eagle,,ID,83616,6 000 SF,2 406 SF,Eagle,Office Building,A,Negotiable,,,Angela Wickham,16261365,Now
Office,Eagle Office Suite For Lease,1079 South Ancona Avenue,130,Eagle,,ID,83616,6 730 SF,1 253 SF,Eagle,Office Building,A,$1.08 /SF/Mo,1 253 SF,,DJ Thompson,17159389,Now
Retail,Eagle Plaza,228 E. Plaza Road,B,Eagle,,ID,83616,25 898 SF,1 490 SF,Eagle,Retail (Other),,$1.46 /SF/Mo,1 490 SF,,Thornton Oliver Keller Commercial Real Estate,15859945,Now
Office,1045 Ancona Road,1045 S. Ancona Road,140,Eagle,,ID,83616,12 000 SF,3 778 SF,Eagle,Office Building,,$0.83 /SF/Mo,3 778 SF,,Thornton Oliver Keller Commercial Real Estate,14328516,Now
