Retail,North Pointe,State St. & Gary Ln.,Pad C,Boise,,ID,83714,,6 000 SF,Northwest-,Power Center,,Negotiable,,,Rose Walker,18173343,
Retail,North Pointe,State St. & Gary Ln.,Pad D,Boise,,ID,83714,,6 000 SF,Northwest-,Power Center,,Negotiable,,,Rose Walker,18173343,
Office,Arney Lane Plaza,9175 W State Street,Space 1,Boise,,ID,83714,1 890 SF,1 890 SF,Northwest-,Office Building,A,$0.50 /SF/Mo,,,Matt Mahoney,17812310,
Office,Riverside Business Park,7661 W. Riverside Drive,200,Boise,,ID,83712,18 000 SF,9 472 SF,Northwest-,Office Building,A,$1.54 /SF/Mo,4 736 SF,,Debbie Martin  SIOR,14046961,Now
Office,Riverside Business Park,7661 W. Riverside Drive,201,Boise,,ID,83712,18 000 SF,4 736 SF,Northwest-,Office Building,A,$1.54 /SF/Mo,9 472 SF,,Debbie Martin  SIOR,14046961,Now
Retail,6100 State Street,6100-6110 W. State Street,120,Boise,,ID,83703,3 755 SF,1 375 SF,Northwest-,Retail (Other),,$1.04 /SF/Mo,1 375 SF,,Thornton Oliver Keller Commercial Real Estate,19162597,Now
Office,3355 N Lakeharbor Lane,3355 N Lakeharbor Lane,102,Boise,,ID,83703,2 388 SF,260 SF,Northwest-,Office Building,A,$1.08 /SF/Mo,1 220 SF,,Jamie Anderson,19132530,Now
Office,3355 N Lakeharbor Lane,3355 N Lakeharbor Lane,103,Boise,,ID,83703,2 388 SF,960 SF,Northwest-,Office Building,A,$1.08 /SF/Mo,1 220 SF,,Jamie Anderson,19132530,Now
Office,Savannah Plaza Office Space For Lease,5989 West State Street,Suite B,Garden City,,ID,83703,2 430 SF,1 215 SF,Northwest-,Office Building,B,$1.04 /SF/Mo,1 215 SF,,Jennifer McEntee,18876471,
Office,The Water Front @ Lake Harbor,3100 N. Lake Harbor,191,Boise,,ID,83703,60 000 SF,973 SF,Northwest-,Office Building,B,$1.35 /SF/Mo,973 SF,,Amanda Alvaro,18317063,Now
Office,The Water Front @ Lake Harbor,3100 N. Lake Harbor,192,Boise,,ID,83703,60 000 SF,714 SF,Northwest-,Office Building,B,$1.35 /SF/Mo,714 SF,,Amanda Alvaro,18317063,
Office,The Water Front @ Lake Harbor,3100 N. Lake Harbor,193,Boise,,ID,83703,60 000 SF,522 SF,Northwest-,Office Building,B,$1.35 /SF/Mo,522 SF,,Amanda Alvaro,18317063,
Office,The Water Front @ Lake Harbor,3100 N. Lake Harbor,194,Boise,,ID,83703,60 000 SF,324 SF,Northwest-,Office Building,B,$1.35 /SF/Mo,324 SF,,Amanda Alvaro,18317063,
Office,The Water Front @ Lake Harbor,3100 N. Lake Harbor,196,Boise,,ID,83703,60 000 SF,375 SF,Northwest-,Office Building,B,$1.35 /SF/Mo,375 SF,,Amanda Alvaro,18317063,
Office,The Water Front @ Lake Harbor,3100 N. Lake Harbor,190,Boise,,ID,83703,60 000 SF,3 054 SF,Northwest-,Office Building,B,$1.35 /SF/Mo,5 900 SF,,Amanda Alvaro,18317063,
Office,The Water Front @ Lake Harbor,3100 N. Lake Harbor,159,Boise,,ID,83703,60 000 SF,2 862 SF,Northwest-,Office Building,B,$1.35 /SF/Mo,2 862 SF,,Amanda Alvaro,18317063,
Office,The Water Front @ Lake Harbor,3100 N. Lake Harbor,116,Boise,,ID,83703,60 000 SF,1 301 SF,Northwest-,Office Building,B,$1.35 /SF/Mo,1 301 SF,,Amanda Alvaro,18317063,
Office,The Water Front @ Lake Harbor,3100 N. Lake Harbor,120,Boise,,ID,83703,60 000 SF,1 567 SF,Northwest-,Office Building,B,$1.35 /SF/Mo,1 567 SF,,Amanda Alvaro,18317063,
Office,The Water Front @ Lake Harbor,3100 N. Lake Harbor,134,Boise,,ID,83703,60 000 SF,1 340 SF,Northwest-,Office Building,B,$1.35 /SF/Mo,1 340 SF,,Amanda Alvaro,18317063,
Office,The Water Front @ Lake Harbor,3100 N. Lake Harbor,211,Boise,,ID,83703,60 000 SF,1 028 SF,Northwest-,Office Building,B,$1.35 /SF/Mo,1 028 SF,,Amanda Alvaro,18317063,
Office,The Water Front @ Lake Harbor,3100 N. Lake Harbor,216,Boise,,ID,83703,60 000 SF,456 SF,Northwest-,Office Building,B,$1.35 /SF/Mo,1 776 SF,,Amanda Alvaro,18317063,
Office,The Water Front @ Lake Harbor,3100 N. Lake Harbor,217,Boise,,ID,83703,60 000 SF,1 320 SF,Northwest-,Office Building,B,$1.35 /SF/Mo,1 776 SF,,Amanda Alvaro,18317063,
Office,The Water Front @ Lake Harbor,3100 N. Lake Harbor,219,Boise,,ID,83703,60 000 SF,1 911 SF,Northwest-,Office Building,B,$1.35 /SF/Mo,1 911 SF,,Amanda Alvaro,18317063,
Office,The Water Front @ Lake Harbor,3100 N. Lake Harbor,209,Boise,,ID,83703,60 000 SF,799 SF,Northwest-,Office Building,B,$1.35 /SF/Mo,799 SF,,Amanda Alvaro,18317063,
Office,The Water Front @ Lake Harbor,3100 N. Lake Harbor,Executive Suites,Boise,,ID,83703,60 000 SF,356 SF,Northwest-,Office Building,B,$1.26 - $37.50 /SF/Mo,356 SF,,Amanda Alvaro,18317063,
Office,The Water Front @ Lake Harbor,3100 N. Lake Harbor,Executive Suites,Boise,,ID,83703,60 000 SF,520 SF,Northwest-,Office Building,B,$1.15 - $50 /SF/Mo,520 SF,,Amanda Alvaro,18317063,
Office,The Water Front @ Lake Harbor,3100 N. Lake Harbor,Executive Suites,Boise,,ID,83703,60 000 SF,430 SF,Northwest-,Office Building,B,$1.15 - $50 /SF/Mo,430 SF,,Amanda Alvaro,18317063,
Office,The Water Front @ Lake Harbor,3100 N. Lake Harbor,Executive Suites,Boise,,ID,83703,60 000 SF,1 172 SF,Northwest-,Office Building,B,$0.94 - $91.67 /SF/Mo,1 172 SF,,Amanda Alvaro,18317063,
Office,The Water Front @ Lake Harbor,3100 N. Lake Harbor,Executive suties,Boise,,ID,83703,60 000 SF,615 SF,Northwest-,Office Building,B,$0.94 - $91.67 /SF/Mo,615 SF,,Amanda Alvaro,18317063,
Office,The Water Front @ Lake Harbor,3100 N. Lake Harbor,Executive suites,Boise,,ID,83703,60 000 SF,533 SF,Northwest-,Office Building,B,$0.94 - $91.67 /SF/Mo,533 SF,,Amanda Alvaro,18317063,
